1,8,5,103,7
2,5,13,441,4
3,13,6,114,13
4,6,11,227,16
5,11,5,259,19
6,5,3,480,12
7,3,11,347,11
8,11,2,211,6
9,2,8,416,15
10,8,13,148,13
11,13,11,490,11
12,11,8,269,4
13,8,9,265,4
14,9,1,163,20
15,1,5,236,8
16,5,7,450,5
17,7,11,434,6
18,11,4,443,4
19,4,1,109,3
20,1,8,474,18
21,8,13,273,9
22,13,1,293,2
23,1,2,405,6
24,2,8,499,10
25,8,2,77,12
26,2,6,94,2
27,6,7,314,11
28,7,5,182,13
29,5,10,302,20
30,10,1,266,9
31,1,2,58,20
32,2,8,414,15
33,8,5,124,17
34,5,9,364,5
35,9,3,226,9
36,3,12,29,2
37,12,8,121,11
38,8,3,174,16
39,3,7,117,12
